,year,regenerative medicine,tissue engineering,bone,scaffold,orthodontic,biocompatible,biodegradable,tissue scaffold,scaffold guided,bone graft
0,1976,0,0,11,0,1,0,3,0,0,2
1,1977,0,0,5,0,1,2,1,0,0,0
2,1978,0,0,5,0,1,1,3,0,0,0
3,1979,0,0,2,0,0,0,0,0,0,0
4,1980,0,0,10,0,5,0,2,0,0,0
5,1981,0,0,7,0,3,0,1,0,0,0
6,1982,0,0,3,0,1,1,0,0,0,0
7,1983,0,0,4,0,4,0,0,0,0,0
8,1984,0,0,17,0,9,4,1,0,0,2
9,1985,0,0,10,0,3,1,0,0,0,1
10,1986,0,0,10,1,8,2,2,0,0,2
11,1987,0,0,12,0,2,4,2,0,0,3
12,1988,0,0,14,0,4,3,1,0,0,0
13,1989,0,0,24,0,7,10,0,0,0,2
14,1990,0,0,29,0,6,10,1,0,0,0
15,1991,0,0,34,1,8,8,3,0,0,4
16,1992,0,0,26,2,7,6,6,0,0,5
17,1993,0,0,37,2,5,10,2,0,0,6
18,1994,0,0,40,7,6,14,7,0,0,8
19,1995,0,0,39,9,9,21,7,0,0,9
20,1996,0,0,44,2,6,17,4,0,0,7
21,1997,0,8,72,16,15,32,22,8,0,15
22,1998,0,2,97,17,17,34,19,1,0,20
23,1999,0,6,101,24,18,40,30,2,0,33
24,2000,0,10,105,25,17,53,20,3,0,32
25,2001,0,20,140,42,25,77,44,5,0,41
26,2002,0,25,134,41,15,79,42,7,0,40
27,2003,0,15,138,32,18,80,41,5,0,42
28,2004,0,8,95,33,10,46,27,1,0,26
29,2005,0,22,114,44,14,56,42,5,0,43
30,2006,2,21,157,50,20,76,49,9,0,54
31,2007,1,14,112,41,19,68,36,4,0,46
32,2008,2,14,97,30,22,48,23,2,0,30
33,2009,6,30,147,53,8,99,34,3,0,51
34,2010,7,36,240,90,26,154,71,12,0,79
35,2011,5,48,310,103,22,205,93,9,0,91
36,2012,12,64,382,145,29,246,105,21,0,115
37,2013,22,98,493,198,46,336,145,43,0,189
38,2014,26,122,553,229,42,369,180,40,0,189
39,2015,32,123,504,230,49,331,155,29,1,192
40,2016,45,121,541,230,62,369,165,30,0,211
41,2017,39,117,552,242,69,368,171,34,1,195
42,2018,39,100,481,190,74,301,139,34,1,154
43,2019,55,145,627,251,97,375,207,43,0,195
44,2020,41,144,622,272,105,353,195,44,0,160
45,2021,66,157,681,277,133,373,216,40,0,161
