,year,osteoconductive,biomaterial,craniofacial,biomanufacturing,biofabrication,osseointegration,mandible
0,1976,0,0,0,0,0,0,11
1,1977,0,0,0,0,0,0,5
2,1978,0,0,0,0,0,0,5
3,1979,0,0,0,0,0,0,2
4,1980,0,0,0,0,0,0,11
5,1981,0,0,0,0,0,0,9
6,1982,0,0,0,0,0,0,3
7,1983,0,0,0,0,0,0,5
8,1984,0,0,0,0,0,0,20
9,1985,0,0,1,0,0,0,11
10,1986,1,0,1,0,0,0,15
11,1987,1,1,1,0,0,0,12
12,1988,0,0,0,0,0,1,14
13,1989,0,3,1,0,0,6,21
14,1990,1,3,1,0,0,4,24
15,1991,3,2,1,0,0,12,24
16,1992,5,4,2,0,0,6,20
17,1993,7,7,0,0,0,18,19
18,1994,11,1,5,0,0,10,26
19,1995,9,6,2,0,0,12,25
20,1996,7,7,3,0,0,17,25
21,1997,19,11,5,0,0,18,45
22,1998,23,14,7,0,0,28,57
23,1999,26,21,12,0,0,34,55
24,2000,27,30,11,0,0,31,62
25,2001,43,40,12,0,0,39,75
26,2002,36,37,11,0,0,36,71
27,2003,50,44,7,0,0,40,54
28,2004,32,23,12,0,0,24,45
29,2005,51,39,9,0,0,15,46
30,2006,66,43,13,0,0,32,67
31,2007,48,37,16,1,0,26,42
32,2008,31,21,15,0,0,13,46
33,2009,74,35,13,0,0,20,44
34,2010,119,61,21,1,0,32,88
35,2011,128,88,33,1,1,54,121
36,2012,160,97,33,1,2,72,136
37,2013,192,159,41,13,2,100,178
38,2014,216,179,45,2,3,114,197
39,2015,201,181,50,7,1,112,170
40,2016,229,164,61,11,1,104,179
41,2017,195,182,50,12,7,124,201
42,2018,169,149,59,7,12,98,198
43,2019,179,186,143,10,17,121,212
44,2020,163,199,151,16,19,138,216
45,2021,154,186,180,12,29,112,267
