,year,osteoconductive,biomaterial,craniofacial,biomanufacturing,biofabrication,osseointegration,mandible
0,1976,0,0,0,0,0,0,11
1,1977,0,0,0,0,0,0,16
2,1978,0,0,0,0,0,0,21
3,1979,0,0,0,0,0,0,23
4,1980,0,0,0,0,0,0,34
5,1981,0,0,0,0,0,0,43
6,1982,0,0,0,0,0,0,46
7,1983,0,0,0,0,0,0,51
8,1984,0,0,0,0,0,0,71
9,1985,0,0,1,0,0,0,82
10,1986,1,0,2,0,0,0,97
11,1987,2,1,3,0,0,0,109
12,1988,2,1,3,0,0,1,123
13,1989,2,4,4,0,0,7,144
14,1990,3,7,5,0,0,11,168
15,1991,6,9,6,0,0,23,192
16,1992,11,13,8,0,0,29,212
17,1993,18,20,8,0,0,47,231
18,1994,29,21,13,0,0,57,257
19,1995,38,27,15,0,0,69,282
20,1996,45,34,18,0,0,86,307
21,1997,64,45,23,0,0,104,352
22,1998,87,59,30,0,0,132,409
23,1999,113,80,42,0,0,166,464
24,2000,140,110,53,0,0,197,526
25,2001,183,150,65,0,0,236,601
26,2002,219,187,76,0,0,272,672
27,2003,269,231,83,0,0,312,726
28,2004,301,254,95,0,0,336,771
29,2005,352,293,104,0,0,351,817
30,2006,418,336,117,0,0,383,884
31,2007,466,373,133,1,0,409,926
32,2008,497,394,148,1,0,422,972
33,2009,571,429,161,1,0,442,1016
34,2010,690,490,182,2,0,474,1104
35,2011,818,578,215,3,1,528,1225
36,2012,978,675,248,4,3,600,1361
37,2013,1170,834,289,17,5,700,1539
38,2014,1386,1013,334,19,8,814,1736
39,2015,1587,1194,384,26,9,926,1906
40,2016,1816,1358,445,37,10,1030,2085
41,2017,2011,1540,495,49,17,1154,2286
42,2018,2180,1689,554,56,29,1252,2484
43,2019,2359,1875,697,66,46,1373,2696
44,2020,2522,2074,848,82,65,1511,2912
45,2021,2676,2260,1028,94,94,1623,3179
