,year,bone,liver,cardiac,microcapillary,nerve,capillary
0,1976,11,4,0,0,5,2
1,1977,16,5,0,0,9,2
2,1978,21,7,0,0,13,4
3,1979,23,7,0,0,13,4
4,1980,33,8,0,0,14,5
5,1981,40,9,0,0,14,5
6,1982,43,10,0,0,14,5
7,1983,47,10,0,0,14,5
8,1984,64,12,0,0,15,5
9,1985,74,12,0,0,18,5
10,1986,84,15,0,0,18,6
11,1987,96,16,0,0,20,6
12,1988,110,17,0,0,23,6
13,1989,134,21,2,0,28,7
14,1990,163,25,5,0,35,7
15,1991,197,30,6,0,41,9
16,1992,223,37,7,0,48,9
17,1993,260,44,7,0,52,10
18,1994,300,56,8,0,61,11
19,1995,339,71,8,0,69,12
20,1996,383,83,10,0,73,15
21,1997,455,114,10,0,97,17
22,1998,552,157,20,0,125,23
23,1999,653,195,27,0,150,28
24,2000,758,243,35,0,177,33
25,2001,898,317,51,0,217,43
26,2002,1032,394,59,0,253,57
27,2003,1170,463,76,0,295,68
28,2004,1265,519,88,0,318,78
29,2005,1379,582,100,0,355,86
30,2006,1536,663,121,1,393,108
31,2007,1648,730,132,2,434,123
32,2008,1745,788,143,3,454,132
33,2009,1892,890,158,3,521,149
34,2010,2132,1043,194,4,630,161
35,2011,2442,1238,232,6,744,179
36,2012,2824,1466,280,9,878,212
37,2013,3317,1783,357,11,1084,260
38,2014,3870,2141,456,11,1278,340
39,2015,4374,2471,531,14,1460,399
40,2016,4915,2840,619,20,1650,471
41,2017,5467,3197,707,22,1847,534
42,2018,5948,3508,777,23,2026,575
43,2019,6575,3931,896,29,2267,657
44,2020,7197,4346,1002,31,2514,728
45,2021,7878,4808,1157,35,2789,823
